Key,Base,Language,Translation
"setting_about_app_name","Universal Installer","el","Universal Installer"
"setting_github_title","GitHub","el","GitHub"
"setting_telegram_title","Telegram","el","Telegram"
"setting_website_subtitle","universal-installer.pwhs.app","el","universal-installer.pwhs.app"
"setting_rate_title","Rate App","el","Βαθμολογήστε την εφαρμογή"
"about_creator_subtitle","Pass With High Score","el","Pass With High Score"
"about_license_subtitle","GNU GPL v3","el","GNU GPL v3"
"about_btn_ok","OK","el","ΟΚ"
"installer_mode_shizuku","Shizuku","el","Shizuku"
"installer_mode_root","Root","el","Root"
"tv_sync_screen_title","Send to TV","el","Αποστολή στην τηλεόραση"
"tv_sync_hero_title","Send an app to your TV","el","Στείλτε μια εφαρμογή στην τηλεόρασή σας"
"tv_sync_instructions","On the TV, open Universal Installer → Install, then scan the QR shown there.","el","Στην τηλεόραση, ανοίξτε το Universal Installer → Εγκατάσταση και, στη συνέχεια, σαρώστε το QR που εμφανίζεται εκεί."
"tv_sync_btn_scan","Scan TV QR","el","Σάρωση TV QR"
"tv_sync_prompt_scan","Scan the QR on your TV","el","Σαρώστε το QR στην τηλεόρασή σας"
"tv_sync_status_connected","Connected to %1$s","el","Συνδέθηκε σε %1$s"
"tv_sync_btn_choose_apk","Choose APK to send","el","Επιλέξτε APK για αποστολή"
"tv_sync_btn_rescan","Scan a different TV","el","Σάρωση διαφορετικής τηλεόρασης"
"tv_sync_status_sending","Sending…","el","Αποστολή…"
"tv_sync_status_sent","Sent ✓ — confirm the install on your TV","el","Στάλθηκε ✓ — επιβεβαιώστε την εγκατάσταση στην τηλεόρασή σας"
"tv_sync_status_failed","Failed: %1$s","el","Αποτυχία: %1$s"
"sync_storage_permission_title","Storage Permission Required","el","Απαιτείται άδεια αποθηκευτικού χώρου"
"sync_storage_permission_message","Sync Server needs full storage access to share and manage APK files. Please grant ""All files access"" in Settings.","el","Ο διακομιστής συγχρονισμού χρειάζεται πλήρη πρόσβαση στον χώρο αποθήκευσης για κοινή χρήση και διαχείριση αρχείων APK. Παρακαλούμε παραχωρήστε ""Πρόσβαση σε όλα τα αρχεία"" στις Ρυθμίσεις."
"sync_open_settings","Open Settings","el","Άνοιγμα ρυθμίσεων"
"sync_qr_code_title","Scan QR Code","el","Σάρωση κωδικού QR"
"sync_qr_code_message","Open your camera and scan this code to access the server.","el","Ανοίξτε την κάμερά σας και σαρώστε αυτόν τον κωδικό για πρόσβαση στον διακομιστή."
"sync_close","Close","el","Κλείσιμο"
"sync_server_offline","Server Offline","el","Διακομιστής εκτός σύνδεσης"
"sync_server_starting","Starting…","el","Εκκίνηση…"
"sync_server_online","Server Online","el","Διακομιστής σε σύνδεση"
"sync_server_error","Error","el","Σφάλμα"
"sync_hero_subtitle","Share APK files to other devices on the same Wi-Fi network.","el","Μοιραστείτε αρχεία APK σε άλλες συσκευές στο ίδιο δίκτυο Wi-Fi."
"sync_server_mode","Server Mode","el","Λειτουργία διακομιστή"
"sync_server_running","Running","el","Σε λειτουργία"
"sync_server_tap_to_start","Tap to start","el","Πατήστε για έναρξη"
"sync_server_settings","Server Settings","el","Ρυθμίσεις διακομιστή"
"sync_port","Port","el","Θύρα"
"sync_require_pin","Require PIN","el","Απαιτείται PIN"
"sync_require_pin_subtitle","Guard transfers with a password","el","Προστατέψτε τις μεταφορές με κωδικό πρόσβασης"
"sync_pin_code","PIN Code","el","Κωδικός PIN"
"sync_active_downloads","Active Downloads","el","Ενεργές λήψεις"
"sync_active_downloads_count","%d downloading","el","%d λήψη"
"sync_no_active_downloads","No active downloads","el","Καμία ενεργή λήψη"
"sync_server_url","Server URL","el","URL διακομιστή"
"sync_active_transfer","Active Transfer","el","Ενεργή μεταφορά"
"sync_active_transfers_count","Active Transfers (%d)","el","Ενεργές μεταφορές (%d)"
"sync_add_files_to_share","Add Files to Share","el","Προσθήκη αρχείων για κοινή χρήση"
"sync_shared_files_count","Shared Files (%1$d)","el","Κοινόχρηστα αρχεία (%1$d)"
"sync_empty_state_message","Turn on the server to start sharing files","el","Ενεργοποιήστε τον διακομιστή για να ξεκινήσετε την κοινή χρήση αρχείων"
"sync_delete_cd","Delete","el","Διαγραφή"
"sync_percentage","%1$d%%","el","%1$d%%"
"sync_transfer_progress","%1$s / %2$s","el","%1$s / %2$s"
"sync_toast_added_skipped","Added %1$d file(s), skipped %2$d unsupported","el","Προστέθηκαν %1$d αρχεία, παραλείφθηκαν %2$d μη υποστηριζόμενα"
"sync_toast_added","Added %1$d file(s) to Sync Folder","el","Προστέθηκαν %1$d αρχεία στον Φάκελο Συγχρονισμού"
"sync_toast_unsupported","No supported package files selected (apk, apk+, apks, xapk, apkm, zip)","el","Δεν επιλέχθηκαν υποστηριζόμενα αρχεία πακέτου (apk, apk+, apks, xapk, apkm, zip)"
"sync_toast_failed","Failed to copy files","el","Αποτυχία αντιγραφής αρχείων"
"file_size_gb","%1$.1f GB","el","%1$.1f GB"
"file_size_mb","%1$.1f MB","el","%1$.1f MB"
"file_size_kb","%1$.0f KB","el","%1$.0f KB"
"file_size_b","%1$d B","el","%1$d B"
"setting_retry_root","Retry Root Probe","el","Επανάληψη δοκιμής Root"
"setting_section_interface","Interface","el","Διεπαφή"
"setting_section_security","Security","el","Ασφάλεια"
"setting_lock_install_title","Lock Installations","el","Κλείδωμα εγκαταστάσεων"
"setting_lock_install_subtitle","Require biometric to confirm install","el","Απαιτείται βιομετρική επιβεβαίωση για εγκατάσταση"
"setting_lock_uninstall_title","Lock Uninstalls","el","Κλείδωμα απεγκαταστάσεων"
"setting_lock_uninstall_subtitle","Require biometric to confirm uninstall","el","Απαιτείται βιομετρική επιβεβαίωση για απεγκατάσταση"
"setting_biometric_unavailable","No biometric or device lock set up on this device.","el","Δεν έχει ρυθμιστεί βιομετρικό κλείδωμα ή κλείδωμα συσκευής σε αυτήν τη συσκευή."
"setting_section_sync_short","Sync","el","Συγχρονισμός"
"setting_sync_control_panel","Sync Control Panel","el","Πίνακας ελέγχου συγχρονισμού"
"setting_section_advanced","Advanced","el","Για προχωρημένους"
"setting_vt_api_key_title","VirusTotal API Key","el","Κλειδί API VirusTotal"
"setting_vt_api_key_placeholder","Paste API key here…","el","Επικολλήστε το κλειδί API εδώ…"
"setting_diagnostics_title","Diagnostics","el","Διαγνωστικά"
"setting_installer_package_title","Installer Package","el","Πακέτο εγκατάστασης"
"backup_settings_title","Backup Settings","el","Ρυθμίσεις αντιγράφων ασφαλείας"
"backup_output_path","Output Path","el","Διαδρομή εξόδου"
"backup_filename_template","Filename Template","el","Πρότυπο ονόματος αρχείου"
"backup_tags_hint","Tags: {name}, {pkg}, {version}, {code}","el","Ετικέτες: {name}, {pkg}, {version}, {code}"
"app_name","Universal Installer","es","Universal Installer"
"download_notif_running_text","%1$s / %2$s · %3$d%%","es","%1$s / %2$s · %3$d%%"
"source_action_browse_packages_sub",".APK · .APK+ · .XAPK · .APKS · .APKM","es",".APK · .APK+ · .XAPK · .APKS · .APKM"
"obb_copy_progress","%1$s / %2$s · %3$d%%","es","%1$s / %2$s · %3$d%%"
"obb_notif_running_text","%d%%","es","%d%%"
"apk_info_version_detail","%1$s (%2$d)","es","%1$s (%2$d)"
"uninstall_current_sort_summary","%1$s %2$s","es","%1$s %2$s"
"setting_shizuku_installer_preset_play","Google Play Store","es","Google Play Store"
"setting_shizuku_installer_preset_aurora","Aurora Store","es","Aurora Store"
"setting_shizuku_installer_preset_fdroid","F-Droid","es","F-Droid"
"setting_shizuku_installer_preset_amazon","Amazon Appstore","es","Amazon Appstore"
"setting_shizuku_installer_preset_samsung","Samsung Galaxy Store","es","Samsung Galaxy Store"
"setting_shizuku_installer_preset_huawei","Huawei AppGallery","es","Huawei AppGallery"
"setting_shizuku_installer_preset_xiaomi","Xiaomi GetApps","es","Xiaomi GetApps"
