Key,Base,Language,Translation
"setting_github_title","GitHub","tr","GitHub"
"setting_telegram_title","Telegram","tr","Telegram"
"setting_website_subtitle","universal-installer.pwhs.app","tr","universal-installer.pwhs.app"
"setting_rate_title","Rate App","tr","Uygulamayı Değerlendir"
"about_creator_subtitle","Pass With High Score","tr","Pass With High Score"
"about_license_subtitle","GNU GPL v3","tr","GNU GPL v3"
"about_btn_ok","OK","tr","Tamam"
"installer_mode_shizuku","Shizuku","tr","Shizuku"
"installer_mode_root","Root","tr","Root"
"tv_sync_screen_title","Send to TV","tr","TV'ye Gönder"
"tv_sync_hero_title","Send an app to your TV","tr","TV'nize bir uygulama gönderin"
"tv_sync_instructions","On the TV, open Universal Installer → Install, then scan the QR shown there.","tr","TV'de Universal Installer → Yükle bölümünü açın, ardından orada gösterilen QR kodunu tarayın."
"tv_sync_btn_scan","Scan TV QR","tr","TV QR Kodunu Tara"
"tv_sync_prompt_scan","Scan the QR on your TV","tr","TV'nizdeki QR kodunu tarayın"
"tv_sync_status_connected","Connected to %1$s","tr","%1$s cihazına bağlandı"
"tv_sync_btn_choose_apk","Choose APK to send","tr","Gönderilecek APK'yı seçin"
"tv_sync_btn_rescan","Scan a different TV","tr","Farklı bir TV tara"
"tv_sync_status_sending","Sending…","tr","Gönderiliyor…"
"tv_sync_status_sent","Sent ✓ — confirm the install on your TV","tr","Gönderildi ✓ — TV'nizden yüklemeyi onaylayın"
"tv_sync_status_failed","Failed: %1$s","tr","Başarısız: %1$s"
"sync_storage_permission_title","Storage Permission Required","tr","Depolama İzni Gerekli"
"sync_storage_permission_message","Sync Server needs full storage access to share and manage APK files. Please grant ""All files access"" in Settings.","tr","Senkronizasyon Sunucusu'nun APK dosyalarını paylaşması ve yönetmesi için tam depolama erişimine ihtiyacı var. Lütfen Ayarlar'dan ""Tüm dosyalara erişim"" izni verin."
"sync_open_settings","Open Settings","tr","Ayarları Aç"
"sync_qr_code_title","Scan QR Code","tr","QR Kodunu Tara"
"sync_qr_code_message","Open your camera and scan this code to access the server.","tr","Sunucuya erişmek için kameranızı açın ve bu kodu tarayın."
"sync_close","Close","tr","Kapat"
"sync_server_offline","Server Offline","tr","Sunucu Çevrimdışı"
"sync_server_starting","Starting…","tr","Başlatılıyor…"
"sync_server_online","Server Online","tr","Sunucu Çevrimiçi"
"sync_server_error","Error","tr","Hata"
"sync_hero_subtitle","Share APK files to other devices on the same Wi-Fi network.","tr","Aynı Wi-Fi ağındaki diğer cihazlarla APK dosyalarını paylaşın."
"sync_server_mode","Server Mode","tr","Sunucu Modu"
"sync_server_running","Running","tr","Çalışıyor"
"sync_server_tap_to_start","Tap to start","tr","Başlatmak için dokunun"
"sync_server_settings","Server Settings","tr","Sunucu Ayarları"
"sync_port","Port","tr","Bağlantı Noktası"
"sync_require_pin","Require PIN","tr","PIN Gerekli"
"sync_require_pin_subtitle","Guard transfers with a password","tr","Aktarımları parolayla koruyun"
"sync_pin_code","PIN Code","tr","PIN Kodu"
"sync_active_downloads","Active Downloads","tr","Aktif İndirmeler"
"sync_active_downloads_count","%d downloading","tr","%d indiriliyor"
"sync_no_active_downloads","No active downloads","tr","Aktif indirme yok"
"sync_server_url","Server URL","tr","Sunucu URL'si"
"sync_active_transfer","Active Transfer","tr","Aktif Aktarım"
"sync_active_transfers_count","Active Transfers (%d)","tr","Aktif Aktarımlar (%d)"
"sync_add_files_to_share","Add Files to Share","tr","Paylaşılacak Dosyaları Ekle"
"sync_shared_files_count","Shared Files (%1$d)","tr","Paylaşılan Dosyalar (%1$d)"
"sync_empty_state_message","Turn on the server to start sharing files","tr","Dosya paylaşmaya başlamak için sunucuyu açın"
"sync_delete_cd","Delete","tr","Sil"
"sync_percentage","%1$d%%","tr","%%1$d"
"sync_transfer_progress","%1$s / %2$s","tr","%1$s / %2$s"
"sync_toast_added_skipped","Added %1$d file(s), skipped %2$d unsupported","tr","%1$d dosya eklendi, %2$d desteklenmeyen dosya atlandı"
"sync_toast_added","Added %1$d file(s) to Sync Folder","tr","Senkronizasyon Klasörüne %1$d dosya eklendi"
"sync_toast_unsupported","No supported package files selected (apk, apk+, apks, xapk, apkm, zip)","tr","Desteklenen hiçbir paket dosyası seçilmedi (apk, apk+, apks, xapk, apkm, zip)"
"sync_toast_failed","Failed to copy files","tr","Dosyalar kopyalanamadı"
"file_size_gb","%1$.1f GB","tr","%1$.1f GB"
"file_size_mb","%1$.1f MB","tr","%1$.1f MB"
"file_size_kb","%1$.0f KB","tr","%1$.0f KB"
"file_size_b","%1$d B","tr","%1$d B"
"setting_retry_root","Retry Root Probe","tr","Root Kontrolünü Yeniden Dene"
"setting_section_interface","Interface","tr","Arayüz"
"setting_section_security","Security","tr","Güvenlik"
"setting_lock_install_title","Lock Installations","tr","Yüklemeleri Kilitle"
"setting_lock_install_subtitle","Require biometric to confirm install","tr","Yüklemeyi onaylamak için biyometri gerekli"
"setting_lock_uninstall_title","Lock Uninstalls","tr","Kaldırmaları Kilitle"
"setting_lock_uninstall_subtitle","Require biometric to confirm uninstall","tr","Kaldırmayı onaylamak için biyometri gerekli"
"setting_biometric_unavailable","No biometric or device lock set up on this device.","tr","Bu cihazda ayarlanmış bir biyometri veya cihaz kilidi yok."
