Key,Base,Language,Translation
"tv_sync_status_connected","Connected to %1$s","vi",""
"tv_sync_btn_choose_apk","Choose APK to send","vi",""
"tv_sync_btn_rescan","Scan a different TV","vi",""
"tv_sync_status_sending","Sending…","vi",""
"tv_sync_status_sent","Sent ✓ — confirm the install on your TV","vi",""
"tv_sync_status_failed","Failed: %1$s","vi",""
"sync_storage_permission_title","Storage Permission Required","vi",""
"sync_storage_permission_message","Sync Server needs full storage access to share and manage APK files. Please grant \""All files access\"" in Settings.","vi",""
"sync_open_settings","Open Settings","vi",""
"sync_qr_code_title","Scan QR Code","vi",""
"sync_qr_code_message","Open your camera and scan this code to access the server.","vi",""
"sync_close","Close","vi",""
"sync_server_offline","Server Offline","vi",""
"sync_server_starting","Starting…","vi",""
"sync_server_online","Server Online","vi",""
"sync_server_error","Error","vi",""
"sync_hero_subtitle","Share APK files to other devices on the same Wi-Fi network.","vi",""
"sync_server_mode","Server Mode","vi",""
"sync_server_running","Running","vi",""
"sync_server_tap_to_start","Tap to start","vi",""
"sync_server_settings","Server Settings","vi",""
"sync_port","Port","vi",""
"sync_require_pin","Require PIN","vi",""
"sync_require_pin_subtitle","Guard transfers with a password","vi",""
"sync_pin_code","PIN Code","vi",""
"sync_active_downloads","Active Downloads","vi",""
"sync_active_downloads_count","%d downloading","vi",""
"sync_no_active_downloads","No active downloads","vi",""
"sync_server_url","Server URL","vi",""
"sync_active_transfer","Active Transfer","vi",""
"sync_active_transfers_count","Active Transfers (%d)","vi",""
"sync_add_files_to_share","Add Files to Share","vi",""
"sync_shared_files_count","Shared Files (%1$d)","vi",""
"sync_empty_state_message","Turn on the server to start sharing files","vi",""
"sync_delete_cd","Delete","vi",""
"sync_percentage","%1$d%%","vi",""
"sync_transfer_progress","%1$s / %2$s","vi",""
"sync_toast_added_skipped","Added %1$d file(s), skipped %2$d unsupported","vi",""
"sync_toast_added","Added %1$d file(s) to Sync Folder","vi",""
"sync_toast_unsupported","No supported package files selected (apk, apk+, apks, xapk, apkm, zip)","vi",""
"sync_toast_failed","Failed to copy files","vi",""
"file_size_gb","%1$.1f GB","vi",""
"file_size_mb","%1$.1f MB","vi",""
"file_size_kb","%1$.0f KB","vi",""
"file_size_b","%1$d B","vi",""
"setting_retry_root","Retry Root Probe","vi",""
"setting_section_interface","Interface","vi",""
"setting_section_security","Security","vi",""
"setting_lock_install_title","Lock Installations","vi",""
"setting_lock_install_subtitle","Require biometric to confirm install","vi",""
"setting_lock_uninstall_title","Lock Uninstalls","vi",""
"setting_lock_uninstall_subtitle","Require biometric to confirm uninstall","vi",""
"setting_biometric_unavailable","No biometric or device lock set up on this device.","vi",""
"setting_section_sync_short","Sync","vi",""
"setting_sync_control_panel","Sync Control Panel","vi",""
"setting_section_advanced","Advanced","vi",""
"setting_vt_api_key_title","VirusTotal API Key","vi",""
"setting_vt_api_key_placeholder","Paste API key here…","vi",""
"setting_diagnostics_title","Diagnostics","vi",""
"setting_installer_package_title","Installer Package","vi",""
"backup_settings_title","Backup Settings","vi",""
"backup_output_path","Output Path","vi",""
"backup_filename_template","Filename Template","vi",""
"backup_tags_hint","Tags: {name}, {pkg}, {version}, {code}","vi",""
"app_name","Universal Installer","zh",""
"download_notif_running_text","%1$s / %2$s · %3$d%%","zh",""
"source_action_browse_packages_sub",".APK · .APK+ · .XAPK · .APKS · .APKM","zh",""
"obb_copy_progress","%1$s / %2$s · %3$d%%","zh",""
"obb_notif_running_text","%d%%","zh",""
"apk_info_version_detail","%1$s (%2$d)","zh",""
"uninstall_current_sort_summary","%1$s %2$s","zh",""
"setting_shizuku_installer_preset_play","Google Play Store","zh",""
"setting_shizuku_installer_preset_aurora","Aurora Store","zh",""
"setting_shizuku_installer_preset_fdroid","F-Droid","zh",""
"setting_shizuku_installer_preset_amazon","Amazon Appstore","zh",""
"setting_shizuku_installer_preset_samsung","Samsung Galaxy Store","zh",""
"setting_shizuku_installer_preset_huawei","Huawei AppGallery","zh",""
"setting_shizuku_installer_preset_xiaomi","Xiaomi GetApps","zh",""
"setting_about_app_name","Universal Installer","zh",""
"setting_github_title","GitHub","zh",""
"setting_telegram_title","Telegram","zh",""
"setting_website_subtitle","universal-installer.pwhs.app","zh",""
"setting_rate_title","Rate App","zh",""
"about_creator_subtitle","Pass With High Score","zh",""
"about_license_subtitle","GNU GPL v3","zh",""
"about_btn_ok","OK","zh",""
"installer_mode_shizuku","Shizuku","zh",""
"installer_mode_root","Root","zh",""
"tv_sync_screen_title","Send to TV","zh",""
"tv_sync_hero_title","Send an app to your TV","zh",""
"tv_sync_instructions","On the TV, open Universal Installer → Install, then scan the QR shown there.","zh",""
"tv_sync_btn_scan","Scan TV QR","zh",""
"tv_sync_prompt_scan","Scan the QR on your TV","zh",""
"tv_sync_status_connected","Connected to %1$s","zh",""
"tv_sync_btn_choose_apk","Choose APK to send","zh",""
"tv_sync_btn_rescan","Scan a different TV","zh",""
"tv_sync_status_sending","Sending…","zh",""
"tv_sync_status_sent","Sent ✓ — confirm the install on your TV","zh",""
"tv_sync_status_failed","Failed: %1$s","zh",""
"sync_storage_permission_title","Storage Permission Required","zh",""
"sync_storage_permission_message","Sync Server needs full storage access to share and manage APK files. Please grant \""All files access\"" in Settings.","zh",""
"sync_open_settings","Open Settings","zh",""
"sync_qr_code_title","Scan QR Code","zh",""
"sync_qr_code_message","Open your camera and scan this code to access the server.","zh",""
"sync_close","Close","zh",""
"sync_server_offline","Server Offline","zh",""
"sync_server_starting","Starting…","zh",""
"sync_server_online","Server Online","zh",""
"sync_server_error","Error","zh",""
"sync_hero_subtitle","Share APK files to other devices on the same Wi-Fi network.","zh",""
"sync_server_mode","Server Mode","zh",""
"sync_server_running","Running","zh",""
"sync_server_tap_to_start","Tap to start","zh",""
"sync_server_settings","Server Settings","zh",""
"sync_port","Port","zh",""
"sync_require_pin","Require PIN","zh",""
"sync_require_pin_subtitle","Guard transfers with a password","zh",""
"sync_pin_code","PIN Code","zh",""
"sync_active_downloads","Active Downloads","zh",""
"sync_active_downloads_count","%d downloading","zh",""
"sync_no_active_downloads","No active downloads","zh",""
"sync_server_url","Server URL","zh",""
"sync_active_transfer","Active Transfer","zh",""
"sync_active_transfers_count","Active Transfers (%d)","zh",""
"sync_add_files_to_share","Add Files to Share","zh",""
"sync_shared_files_count","Shared Files (%1$d)","zh",""
"sync_empty_state_message","Turn on the server to start sharing files","zh",""
"sync_delete_cd","Delete","zh",""
"sync_percentage","%1$d%%","zh",""
"sync_transfer_progress","%1$s / %2$s","zh",""
"sync_toast_added_skipped","Added %1$d file(s), skipped %2$d unsupported","zh",""
"sync_toast_added","Added %1$d file(s) to Sync Folder","zh",""
"sync_toast_unsupported","No supported package files selected (apk, apk+, apks, xapk, apkm, zip)","zh",""
"sync_toast_failed","Failed to copy files","zh",""
"file_size_gb","%1$.1f GB","zh",""
"file_size_mb","%1$.1f MB","zh",""
"file_size_kb","%1$.0f KB","zh",""
"file_size_b","%1$d B","zh",""
"setting_retry_root","Retry Root Probe","zh",""
"setting_section_interface","Interface","zh",""
"setting_section_security","Security","zh",""
"setting_lock_install_title","Lock Installations","zh",""
"setting_lock_install_subtitle","Require biometric to confirm install","zh",""
"setting_lock_uninstall_title","Lock Uninstalls","zh",""
"setting_lock_uninstall_subtitle","Require biometric to confirm uninstall","zh",""
"setting_biometric_unavailable","No biometric or device lock set up on this device.","zh",""
"setting_section_sync_short","Sync","zh",""
"setting_sync_control_panel","Sync Control Panel","zh",""
"setting_section_advanced","Advanced","zh",""
"setting_vt_api_key_title","VirusTotal API Key","zh",""
"setting_vt_api_key_placeholder","Paste API key here…","zh",""
"setting_diagnostics_title","Diagnostics","zh",""
"setting_installer_package_title","Installer Package","zh",""
"backup_settings_title","Backup Settings","zh",""
"backup_output_path","Output Path","zh",""
"backup_filename_template","Filename Template","zh",""
"backup_tags_hint","Tags: {name}, {pkg}, {version}, {code}","zh",""
