Key,Base,Language,Translation
"tv_sync_prompt_scan","Scan the QR on your TV","fr",""
"tv_sync_status_connected","Connected to %1$s","fr",""
"tv_sync_btn_choose_apk","Choose APK to send","fr",""
"tv_sync_btn_rescan","Scan a different TV","fr",""
"tv_sync_status_sending","Sending…","fr",""
"tv_sync_status_sent","Sent ✓ — confirm the install on your TV","fr",""
"tv_sync_status_failed","Failed: %1$s","fr",""
"sync_storage_permission_title","Storage Permission Required","fr",""
"sync_storage_permission_message","Sync Server needs full storage access to share and manage APK files. Please grant \""All files access\"" in Settings.","fr",""
"sync_open_settings","Open Settings","fr",""
"sync_qr_code_title","Scan QR Code","fr",""
"sync_qr_code_message","Open your camera and scan this code to access the server.","fr",""
"sync_close","Close","fr",""
"sync_server_offline","Server Offline","fr",""
"sync_server_starting","Starting…","fr",""
"sync_server_online","Server Online","fr",""
"sync_server_error","Error","fr",""
"sync_hero_subtitle","Share APK files to other devices on the same Wi-Fi network.","fr",""
"sync_server_mode","Server Mode","fr",""
"sync_server_running","Running","fr",""
"sync_server_tap_to_start","Tap to start","fr",""
"sync_server_settings","Server Settings","fr",""
"sync_port","Port","fr",""
"sync_require_pin","Require PIN","fr",""
"sync_require_pin_subtitle","Guard transfers with a password","fr",""
"sync_pin_code","PIN Code","fr",""
"sync_active_downloads","Active Downloads","fr",""
"sync_active_downloads_count","%d downloading","fr",""
"sync_no_active_downloads","No active downloads","fr",""
"sync_server_url","Server URL","fr",""
"sync_active_transfer","Active Transfer","fr",""
"sync_active_transfers_count","Active Transfers (%d)","fr",""
"sync_add_files_to_share","Add Files to Share","fr",""
"sync_shared_files_count","Shared Files (%1$d)","fr",""
"sync_empty_state_message","Turn on the server to start sharing files","fr",""
"sync_delete_cd","Delete","fr",""
"sync_percentage","%1$d%%","fr",""
"sync_transfer_progress","%1$s / %2$s","fr",""
"sync_toast_added_skipped","Added %1$d file(s), skipped %2$d unsupported","fr",""
"sync_toast_added","Added %1$d file(s) to Sync Folder","fr",""
"sync_toast_unsupported","No supported package files selected (apk, apk+, apks, xapk, apkm, zip)","fr",""
"sync_toast_failed","Failed to copy files","fr",""
"file_size_gb","%1$.1f GB","fr",""
"file_size_mb","%1$.1f MB","fr",""
"file_size_kb","%1$.0f KB","fr",""
"file_size_b","%1$d B","fr",""
"setting_retry_root","Retry Root Probe","fr",""
"setting_section_interface","Interface","fr",""
"setting_section_security","Security","fr",""
"setting_lock_install_title","Lock Installations","fr",""
"setting_lock_install_subtitle","Require biometric to confirm install","fr",""
"setting_lock_uninstall_title","Lock Uninstalls","fr",""
"setting_lock_uninstall_subtitle","Require biometric to confirm uninstall","fr",""
