Key,Base,Language,Translation
"sync_no_active_downloads","No active downloads","ja","アクティブなダウンロードはありません"
"sync_server_url","Server URL","ja","サーバーURL"
"sync_active_transfer","Active Transfer","ja","アクティブな転送"
"sync_active_transfers_count","Active Transfers (%d)","ja","アクティブな転送 (%d)"
"sync_add_files_to_share","Add Files to Share","ja","共有するファイルを追加"
"sync_shared_files_count","Shared Files (%1$d)","ja","共有ファイル (%1$d)"
"sync_empty_state_message","Turn on the server to start sharing files","ja","ファイルを共有するにはサーバーをオンにしてください"
"sync_delete_cd","Delete","ja","削除"
"sync_percentage","%1$d%%","ja","%1$d%%"
"sync_transfer_progress","%1$s / %2$s","ja","%1$s / %2$s"
"sync_toast_added_skipped","Added %1$d file(s), skipped %2$d unsupported","ja","%1$d個のファイルを追加し、%2$d個の非対応ファイルをスキップしました"
"sync_toast_added","Added %1$d file(s) to Sync Folder","ja","同期フォルダに%1$d個のファイルを追加しました"
"sync_toast_unsupported","No supported package files selected (apk, apk+, apks, xapk, apkm, zip)","ja","対応するパッケージファイルが選択されていません (apk, apk+, apks, xapk, apkm, zip)"
"sync_toast_failed","Failed to copy files","ja","ファイルのコピーに失敗しました"
"file_size_gb","%1$.1f GB","ja","%1$.1f GB"
"file_size_mb","%1$.1f MB","ja","%1$.1f MB"
"file_size_kb","%1$.0f KB","ja","%1$.0f KB"
"file_size_b","%1$d B","ja","%1$d B"
"setting_retry_root","Retry Root Probe","ja","Rootプローブを再試行"
"setting_section_interface","Interface","ja","インターフェース"
"setting_section_security","Security","ja","セキュリティ"
"setting_lock_install_title","Lock Installations","ja","インストールをロック"
"setting_lock_install_subtitle","Require biometric to confirm install","ja","インストールの確認に生体認証を要求する"
"setting_lock_uninstall_title","Lock Uninstalls","ja","アンインストールをロック"
"setting_lock_uninstall_subtitle","Require biometric to confirm uninstall","ja","アンインストールの確認に生体認証を要求する"
"setting_biometric_unavailable","No biometric or device lock set up on this device.","ja","このデバイスには生体認証またはデバイスロックが設定されていません。"
"setting_section_sync_short","Sync","ja","同期"
