Key,Base,Language,Translation
"file_size_gb","%1$.1f GB","pt-rBR","%1$.1f GB"
"file_size_mb","%1$.1f MB","pt-rBR","%1$.1f MB"
"file_size_kb","%1$.0f KB","pt-rBR","%1$.0f KB"
"file_size_b","%1$d B","pt-rBR","%1$d B"
"setting_retry_root","Retry Root Probe","pt-rBR","Repetir Teste de Root"
"setting_section_interface","Interface","pt-rBR","Interface"
"setting_section_security","Security","pt-rBR","Segurança"
"setting_lock_install_title","Lock Installations","pt-rBR","Bloquear Instalações"
"setting_lock_install_subtitle","Require biometric to confirm install","pt-rBR","Exigir biometria para confirmar instalação"
"setting_lock_uninstall_title","Lock Uninstalls","pt-rBR","Bloquear Desinstalações"
"setting_lock_uninstall_subtitle","Require biometric to confirm uninstall","pt-rBR","Exigir biometria para confirmar desinstalação"
"setting_biometric_unavailable","No biometric or device lock set up on this device.","pt-rBR","Nenhuma biometria ou bloqueio de tela configurado neste dispositivo."
"setting_section_sync_short","Sync","pt-rBR","Sincronizar"
"setting_sync_control_panel","Sync Control Panel","pt-rBR","Painel de Sincronização"
"setting_section_advanced","Advanced","pt-rBR","Avançado"
"setting_vt_api_key_title","VirusTotal API Key","pt-rBR","Chave de API do VirusTotal"
"setting_vt_api_key_placeholder","Paste API key here…","pt-rBR","Cole a chave de API aqui…"
"setting_diagnostics_title","Diagnostics","pt-rBR","Diagnósticos"
"setting_installer_package_title","Installer Package","pt-rBR","Pacote do Instalador"
"backup_settings_title","Backup Settings","pt-rBR","Configurações de Backup"
"backup_output_path","Output Path","pt-rBR","Caminho de Saída"
"backup_filename_template","Filename Template","pt-rBR","Modelo de Nome de Arquivo"
"backup_tags_hint","Tags: {name}, {pkg}, {version}, {code}","pt-rBR","Tags: {name}, {pkg}, {version}, {code}"
"tv_sync_screen_title","Send to TV","ro","Trimite către TV"
"tv_sync_hero_title","Send an app to your TV","ro","Trimite o aplicație către TV"
"tv_sync_instructions","On the TV, open Universal Installer → Install, then scan the QR shown there.","ro","Pe TV, deschide Universal Installer → Instalare, apoi scanează codul QR afișat acolo."
"tv_sync_btn_scan","Scan TV QR","ro","Scanează QR-ul TV-ului"
"tv_sync_prompt_scan","Scan the QR on your TV","ro","Scanează codul QR de pe TV-ul tău"
"tv_sync_status_connected","Connected to %1$s","ro","Conectat la %1$s"
"tv_sync_btn_choose_apk","Choose APK to send","ro","Alege APK-ul de trimis"
"tv_sync_btn_rescan","Scan a different TV","ro","Scanează alt TV"
"tv_sync_status_sending","Sending…","ro","Se trimite…"
"tv_sync_status_sent","Sent ✓ — confirm the install on your TV","ro","Trimis ✓ — confirmă instalarea pe TV"
"tv_sync_status_failed","Failed: %1$s","ro","A eșuat: %1$s"
"sync_storage_permission_title","Storage Permission Required","ro","Este necesară permisiunea de stocare"
"sync_storage_permission_message","Sync Server needs full storage access to share and manage APK files. Please grant ""All files access"" in Settings.","ro","Serverul de sincronizare are nevoie de acces complet la stocare pentru a partaja și gestiona fișiere APK. Vă rugăm să acordați ""Acces la toate fișierele"" în Setări."
"sync_open_settings","Open Settings","ro","Deschide Setările"
"sync_qr_code_title","Scan QR Code","ro","Scanează codul QR"
"sync_qr_code_message","Open your camera and scan this code to access the server.","ro","Deschide camera și scanează acest cod pentru a accesa serverul."
"sync_close","Close","ro","Închide"
"sync_server_offline","Server Offline","ro","Server Deconectat"
"sync_server_starting","Starting…","ro","Pornire…"
"sync_server_online","Server Online","ro","Server Conectat"
"sync_server_error","Error","ro","Eroare"
"sync_hero_subtitle","Share APK files to other devices on the same Wi-Fi network.","ro","Partajează fișiere APK cu alte dispozitive din aceeași rețea Wi-Fi."
"sync_server_mode","Server Mode","ro","Mod Server"
"sync_server_running","Running","ro","În execuție"
"sync_server_tap_to_start","Tap to start","ro","Apasă pentru a porni"
"sync_server_settings","Server Settings","ro","Setări Server"
"sync_port","Port","ro","Port"
"sync_require_pin","Require PIN","ro","Necesită PIN"
"sync_require_pin_subtitle","Guard transfers with a password","ro","Protejează transferurile cu o parolă"
"sync_pin_code","PIN Code","ro","Cod PIN"
"sync_active_downloads","Active Downloads","ro","Descărcări Active"
"sync_active_downloads_count","%d downloading","ro","Se descarcă %d"
"sync_no_active_downloads","No active downloads","ro","Fără descărcări active"
"sync_server_url","Server URL","ro","URL Server"
"sync_active_transfer","Active Transfer","ro","Transfer Activ"
"sync_active_transfers_count","Active Transfers (%d)","ro","Transferuri Active (%d)"
"sync_add_files_to_share","Add Files to Share","ro","Adaugă Fișiere pentru Partajare"
"sync_shared_files_count","Shared Files (%1$d)","ro","Fișiere Partajate (%1$d)"
"sync_empty_state_message","Turn on the server to start sharing files","ro","Pornește serverul pentru a începe partajarea fișierelor"
"sync_delete_cd","Delete","ro","Șterge"
"sync_percentage","%1$d%%","ro","%1$d%%"
"sync_transfer_progress","%1$s / %2$s","ro","%1$s / %2$s"
"sync_toast_added_skipped","Added %1$d file(s), skipped %2$d unsupported","ro","S-au adăugat %1$d fișier(e), s-au omis %2$d neacceptate"
"sync_toast_added","Added %1$d file(s) to Sync Folder","ro","S-au adăugat %1$d fișier(e) la Dosarul Sincronizare"
"sync_toast_unsupported","No supported package files selected (apk, apk+, apks, xapk, apkm, zip)","ro","Nu a fost selectat niciun pachet de fișiere acceptat (apk, apk+, apks, xapk, apkm, zip)"
"sync_toast_failed","Failed to copy files","ro","Copiarea fișierelor a eșuat"
"file_size_gb","%1$.1f GB","ro","%1$.1f GB"
"file_size_mb","%1$.1f MB","ro","%1$.1f MB"
"file_size_kb","%1$.0f KB","ro","%1$.0f KB"
"file_size_b","%1$d B","ro","%1$d B"
"setting_retry_root","Retry Root Probe","ro","Reîncearcă testul Root"
"setting_section_interface","Interface","ro","Interfață"
"setting_section_security","Security","ro","Securitate"
"setting_lock_install_title","Lock Installations","ro","Blochează instalările"
"setting_lock_install_subtitle","Require biometric to confirm install","ro","Necesită autentificare biometrică pentru instalare"
"setting_lock_uninstall_title","Lock Uninstalls","ro","Blochează dezinstalările"
"setting_lock_uninstall_subtitle","Require biometric to confirm uninstall","ro","Necesită autentificare biometrică pentru dezinstalare"
"setting_biometric_unavailable","No biometric or device lock set up on this device.","ro","Nu este configurată autentificarea biometrică sau blocarea dispozitivului."
"setting_section_sync_short","Sync","ro","Sincronizare"
"setting_sync_control_panel","Sync Control Panel","ro","Panou Control Sincronizare"
"setting_section_advanced","Advanced","ro","Avansat"
"setting_vt_api_key_title","VirusTotal API Key","ro","Cheie API VirusTotal"
"setting_vt_api_key_placeholder","Paste API key here…","ro","Lipește cheia API aici…"
"setting_diagnostics_title","Diagnostics","ro","Diagnosticare"
"setting_installer_package_title","Installer Package","ro","Pachet Instalator"
"backup_settings_title","Backup Settings","ro","Setări Copie de Siguranță"
"backup_output_path","Output Path","ro","Calea de ieșire"
"backup_filename_template","Filename Template","ro","Șablon Nume Fișier"
"backup_tags_hint","Tags: {name}, {pkg}, {version}, {code}","ro","Etichete: {name}, {pkg}, {version}, {code}"
"app_name","Universal Installer","ru","Universal Installer"
"download_notif_running_text","%1$s / %2$s · %3$d%%","ru","%1$s / %2$s · %3$d%%"
"source_action_browse_packages_sub",".APK · .APK+ · .XAPK · .APKS · .APKM","ru",".APK · .APK+ · .XAPK · .APKS · .APKM"
"obb_copy_progress","%1$s / %2$s · %3$d%%","ru","%1$s / %2$s · %3$d%%"
"obb_notif_running_text","%d%%","ru","%d%%"
"apk_info_version_detail","%1$s (%2$d)","ru","%1$s (%2$d)"
"uninstall_current_sort_summary","%1$s %2$s","ru","%1$s %2$s"
"setting_shizuku_installer_preset_play","Google Play Store","ru","Google Play Store"
"setting_shizuku_installer_preset_aurora","Aurora Store","ru","Aurora Store"
"setting_shizuku_installer_preset_fdroid","F-Droid","ru","F-Droid"
"setting_shizuku_installer_preset_amazon","Amazon Appstore","ru","Amazon Appstore"
"setting_shizuku_installer_preset_samsung","Samsung Galaxy Store","ru","Samsung Galaxy Store"
"setting_shizuku_installer_preset_huawei","Huawei AppGallery","ru","Huawei AppGallery"
"setting_shizuku_installer_preset_xiaomi","Xiaomi GetApps","ru","Xiaomi GetApps"
"setting_about_app_name","Universal Installer","ru","Universal Installer"
"setting_github_title","GitHub","ru","GitHub"
"setting_telegram_title","Telegram","ru","Telegram"
"setting_website_subtitle","universal-installer.pwhs.app","ru","universal-installer.pwhs.app"
"setting_rate_title","Rate App","ru","Оценить приложение"
"about_creator_subtitle","Pass With High Score","ru","Pass With High Score"
"about_license_subtitle","GNU GPL v3","ru","GNU GPL v3"
"about_btn_ok","OK","ru","ОК"
"installer_mode_shizuku","Shizuku","ru","Shizuku"
"installer_mode_root","Root","ru","Root"
"tv_sync_screen_title","Send to TV","ru","Отправить на ТВ"
"tv_sync_hero_title","Send an app to your TV","ru","Отправить приложение на ваш ТВ"
"tv_sync_instructions","On the TV, open Universal Installer → Install, then scan the QR shown there.","ru","На ТВ откройте Universal Installer → Установить, затем отсканируйте показанный там QR-код."
"tv_sync_btn_scan","Scan TV QR","ru","Сканировать QR-код ТВ"
"tv_sync_prompt_scan","Scan the QR on your TV","ru","Отсканируйте QR-код на вашем ТВ"
"tv_sync_status_connected","Connected to %1$s","ru","Подключено к %1$s"
"tv_sync_btn_choose_apk","Choose APK to send","ru","Выберите APK для отправки"
