Key,Base,Language,Translation
"setting_github_title","GitHub","tr",""
"setting_telegram_title","Telegram","tr",""
"setting_website_subtitle","universal-installer.pwhs.app","tr",""
"setting_rate_title","Rate App","tr",""
"about_creator_subtitle","Pass With High Score","tr",""
"about_license_subtitle","GNU GPL v3","tr",""
"about_btn_ok","OK","tr",""
"installer_mode_shizuku","Shizuku","tr",""
"installer_mode_root","Root","tr",""
"tv_sync_screen_title","Send to TV","tr",""
"tv_sync_hero_title","Send an app to your TV","tr",""
"tv_sync_instructions","On the TV, open Universal Installer → Install, then scan the QR shown there.","tr",""
"tv_sync_btn_scan","Scan TV QR","tr",""
"tv_sync_prompt_scan","Scan the QR on your TV","tr",""
"tv_sync_status_connected","Connected to %1$s","tr",""
"tv_sync_btn_choose_apk","Choose APK to send","tr",""
"tv_sync_btn_rescan","Scan a different TV","tr",""
"tv_sync_status_sending","Sending…","tr",""
"tv_sync_status_sent","Sent ✓ — confirm the install on your TV","tr",""
"tv_sync_status_failed","Failed: %1$s","tr",""
"sync_storage_permission_title","Storage Permission Required","tr",""
"sync_storage_permission_message","Sync Server needs full storage access to share and manage APK files. Please grant \""All files access\"" in Settings.","tr",""
"sync_open_settings","Open Settings","tr",""
"sync_qr_code_title","Scan QR Code","tr",""
"sync_qr_code_message","Open your camera and scan this code to access the server.","tr",""
"sync_close","Close","tr",""
"sync_server_offline","Server Offline","tr",""
"sync_server_starting","Starting…","tr",""
"sync_server_online","Server Online","tr",""
"sync_server_error","Error","tr",""
"sync_hero_subtitle","Share APK files to other devices on the same Wi-Fi network.","tr",""
"sync_server_mode","Server Mode","tr",""
"sync_server_running","Running","tr",""
"sync_server_tap_to_start","Tap to start","tr",""
"sync_server_settings","Server Settings","tr",""
"sync_port","Port","tr",""
"sync_require_pin","Require PIN","tr",""
"sync_require_pin_subtitle","Guard transfers with a password","tr",""
"sync_pin_code","PIN Code","tr",""
"sync_active_downloads","Active Downloads","tr",""
"sync_active_downloads_count","%d downloading","tr",""
"sync_no_active_downloads","No active downloads","tr",""
"sync_server_url","Server URL","tr",""
"sync_active_transfer","Active Transfer","tr",""
"sync_active_transfers_count","Active Transfers (%d)","tr",""
"sync_add_files_to_share","Add Files to Share","tr",""
"sync_shared_files_count","Shared Files (%1$d)","tr",""
"sync_empty_state_message","Turn on the server to start sharing files","tr",""
"sync_delete_cd","Delete","tr",""
"sync_percentage","%1$d%%","tr",""
"sync_transfer_progress","%1$s / %2$s","tr",""
"sync_toast_added_skipped","Added %1$d file(s), skipped %2$d unsupported","tr",""
"sync_toast_added","Added %1$d file(s) to Sync Folder","tr",""
"sync_toast_unsupported","No supported package files selected (apk, apk+, apks, xapk, apkm, zip)","tr",""
"sync_toast_failed","Failed to copy files","tr",""
"file_size_gb","%1$.1f GB","tr",""
"file_size_mb","%1$.1f MB","tr",""
"file_size_kb","%1$.0f KB","tr",""
"file_size_b","%1$d B","tr",""
"setting_retry_root","Retry Root Probe","tr",""
"setting_section_interface","Interface","tr",""
"setting_section_security","Security","tr",""
"setting_lock_install_title","Lock Installations","tr",""
"setting_lock_install_subtitle","Require biometric to confirm install","tr",""
