Key,Base,Language,Translation
"setting_about_app_name","Universal Installer","el",""
"setting_github_title","GitHub","el",""
"setting_telegram_title","Telegram","el",""
"setting_website_subtitle","universal-installer.pwhs.app","el",""
"setting_rate_title","Rate App","el",""
"about_creator_subtitle","Pass With High Score","el",""
"about_license_subtitle","GNU GPL v3","el",""
"about_btn_ok","OK","el",""
"installer_mode_shizuku","Shizuku","el",""
"installer_mode_root","Root","el",""
"tv_sync_screen_title","Send to TV","el",""
"tv_sync_hero_title","Send an app to your TV","el",""
"tv_sync_instructions","On the TV, open Universal Installer → Install, then scan the QR shown there.","el",""
"tv_sync_btn_scan","Scan TV QR","el",""
"tv_sync_prompt_scan","Scan the QR on your TV","el",""
"tv_sync_status_connected","Connected to %1$s","el",""
"tv_sync_btn_choose_apk","Choose APK to send","el",""
"tv_sync_btn_rescan","Scan a different TV","el",""
"tv_sync_status_sending","Sending…","el",""
"tv_sync_status_sent","Sent ✓ — confirm the install on your TV","el",""
"tv_sync_status_failed","Failed: %1$s","el",""
"sync_storage_permission_title","Storage Permission Required","el",""
"sync_storage_permission_message","Sync Server needs full storage access to share and manage APK files. Please grant \""All files access\"" in Settings.","el",""
"sync_open_settings","Open Settings","el",""
"sync_qr_code_title","Scan QR Code","el",""
"sync_qr_code_message","Open your camera and scan this code to access the server.","el",""
"sync_close","Close","el",""
"sync_server_offline","Server Offline","el",""
"sync_server_starting","Starting…","el",""
"sync_server_online","Server Online","el",""
"sync_server_error","Error","el",""
"sync_hero_subtitle","Share APK files to other devices on the same Wi-Fi network.","el",""
"sync_server_mode","Server Mode","el",""
"sync_server_running","Running","el",""
"sync_server_tap_to_start","Tap to start","el",""
"sync_server_settings","Server Settings","el",""
"sync_port","Port","el",""
"sync_require_pin","Require PIN","el",""
"sync_require_pin_subtitle","Guard transfers with a password","el",""
"sync_pin_code","PIN Code","el",""
"sync_active_downloads","Active Downloads","el",""
"sync_active_downloads_count","%d downloading","el",""
"sync_no_active_downloads","No active downloads","el",""
"sync_server_url","Server URL","el",""
"sync_active_transfer","Active Transfer","el",""
"sync_active_transfers_count","Active Transfers (%d)","el",""
"sync_add_files_to_share","Add Files to Share","el",""
"sync_shared_files_count","Shared Files (%1$d)","el",""
"sync_empty_state_message","Turn on the server to start sharing files","el",""
"sync_delete_cd","Delete","el",""
"sync_percentage","%1$d%%","el",""
"sync_transfer_progress","%1$s / %2$s","el",""
"sync_toast_added_skipped","Added %1$d file(s), skipped %2$d unsupported","el",""
"sync_toast_added","Added %1$d file(s) to Sync Folder","el",""
"sync_toast_unsupported","No supported package files selected (apk, apk+, apks, xapk, apkm, zip)","el",""
"sync_toast_failed","Failed to copy files","el",""
"file_size_gb","%1$.1f GB","el",""
"file_size_mb","%1$.1f MB","el",""
"file_size_kb","%1$.0f KB","el",""
"file_size_b","%1$d B","el",""
"setting_retry_root","Retry Root Probe","el",""
"setting_section_interface","Interface","el",""
"setting_section_security","Security","el",""
"setting_lock_install_title","Lock Installations","el",""
"setting_lock_install_subtitle","Require biometric to confirm install","el",""
"setting_lock_uninstall_title","Lock Uninstalls","el",""
"setting_lock_uninstall_subtitle","Require biometric to confirm uninstall","el",""
"setting_biometric_unavailable","No biometric or device lock set up on this device.","el",""
"setting_section_sync_short","Sync","el",""
"setting_sync_control_panel","Sync Control Panel","el",""
"setting_section_advanced","Advanced","el",""
"setting_vt_api_key_title","VirusTotal API Key","el",""
"setting_vt_api_key_placeholder","Paste API key here…","el",""
"setting_diagnostics_title","Diagnostics","el",""
"setting_installer_package_title","Installer Package","el",""
"backup_settings_title","Backup Settings","el",""
"backup_output_path","Output Path","el",""
"backup_filename_template","Filename Template","el",""
"backup_tags_hint","Tags: {name}, {pkg}, {version}, {code}","el",""
"app_name","Universal Installer","es",""
